panid,assignment,gender
1,1,M
2,0,M
3,1,M
4,0,M
5,0,M
6,1,M
7,1,F
8,0,F
9,1,M
10,0,M
11,0,F
12,0,F
13,1,F
14,0,F
15,0,F
16,0,F
17,0,M
18,1,M
19,1,F
20,0,M
21,1,M
22,1,F
23,0,F
24,0,F
25,0,F
26,0,F
27,1,M
28,0,F
29,0,F
30,0,F
31,0,F
32,0,F
33,1,F
34,1,F
35,1,F
36,1,M
37,1,F
38,1,F
39,0,F
40,1,F
41,0,F
42,0,F
43,1,F
44,0,F
45,0,F
46,0,M
47,1,F
48,1,F
49,0,M
50,0,M
51,0,F
52,0,F
53,0,M
54,0,F
55,0,F
56,1,F
57,1,F
58,0,F
59,1,F
60,1,F
61,1,F
62,0,M
63,0,F
64,1,F
65,1,F
66,0,M
67,1,F
68,0,M
69,0,F
70,0,M
71,1,M
72,1,F
73,1,M
74,1,F
75,0,M
76,1,F
77,1,M
78,0,F
79,1,F
80,1,F
81,0,M
82,1,F
83,0,M
84,1,M
85,0,F
86,1,F
87,1,M
88,1,F
89,1,F
90,0,F
91,1,M
92,0,M
93,0,M
94,0,F
95,1,F
96,1,F
97,0,F
98,1,M
99,1,F
100,1,M
