ID,tariff,stimulus,kwh_2009_08,kwh_2009_09,kwh_2009_10,kwh_2009_11,kwh_2009_12,kwh_2010_01,kwh_2010_02,kwh_2010_03,kwh_2010_04,D_200_2,D_300_2,D_300_3,D_300_4,D_300_5,D_300_6,D_300_7,D_310_2,D_310_3,D_310_4,D_310_5,D_310_6,D_310_7,D_405_2,D_401_2,D_401_3,D_401_4,D_401_5,D_401_6
1002,E,E,114.75449999999984,151.64999999999992,148.33700000000007,193.36399999999975,177.59399999999965,187.70049999999966,154.6390000000003,154.53950000000015,121.50150000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1014,E,E,430.52050000000025,461.8860000000001,404.17799999999977,504.9505000000008,625.382500000001,638.8599999999999,418.8005000000001,412.35149999999976,406.2429999999996,,,,,,,,,,,,,,,,,,,
1018,E,E,955.1689999999986,553.3494999999988,667.4484999999999,619.1914999999997,626.1540000000009,731.7694999999999,526.8724999999998,607.2870000000005,636.074,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1022,E,E,283.19799999999975,275.667,270.75999999999954,281.39800000000014,195.3295000000004,149.85649999999984,242.87250000000006,251.96449999999976,245.4069999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1027,E,E,155.27899999999988,143.855,158.01549999999975,170.009,216.32600000000042,198.80550000000056,157.83800000000014,172.5790000000002,145.62899999999973,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1030,E,E,189.28650000000016,216.0830000000001,222.17250000000035,246.49649999999974,256.7625000000004,256.9580000000003,186.2730000000003,247.6000000000001,207.94449999999946,,,,,,,,,,,,,,,,,,,
1035,E,E,112.98,220.58299999999988,468.7379999999999,1446.2529999999983,2909.8649999999952,3033.6004999999986,2777.9749999999995,2925.055500000001,1614.8055000000008,,,,,,,,,,,,,,,,,,,
1036,E,E,163.15300000000005,193.42150000000052,236.56299999999945,254.2429999999998,298.9824999999997,575.651,567.5854999999996,404.3950000000008,193.5314999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1058,E,E,259.3245000000003,203.0630000000003,249.75199999999975,233.02899999999963,339.9144999999998,360.6270000000006,301.5484999999994,279.45550000000037,245.06600000000066,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1059,E,E,606.2724999999995,582.4280000000009,639.9315000000005,645.9284999999999,834.2369999999988,825.0650000000016,655.4635000000003,615.7415000000001,592.7080000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1060,E,E,134.7524999999996,191.11299999999977,249.80800000000053,284.9830000000005,377.81199999999967,380.50400000000013,285.75100000000003,297.87250000000046,252.15049999999968,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1073,E,E,733.914999999999,742.8974999999998,798.1760000000004,881.5414999999983,972.7240000000005,983.1415000000007,843.1250000000011,871.7395000000002,739.9075000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1074,E,E,161.0794999999995,193.77100000000036,405.1085000000002,519.4209999999994,681.9844999999998,758.1930000000002,566.7004999999998,518.4310000000005,376.4484999999999,,,,,,,,,,,,,,,,,,,
1075,B,3,174.36000000000018,200.4330000000003,220.36349999999945,238.51299999999975,295.3229999999997,282.7454999999996,230.72649999999985,227.76899999999966,191.33899999999994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1076,E,E,313.8270000000006,373.9229999999998,333.1930000000005,409.99550000000016,579.2770000000005,701.3975000000013,577.4270000000008,522.9605000000003,298.8325000000008,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1077,B,3,221.2280000000004,205.51500000000019,232.40100000000035,245.96200000000027,273.56950000000006,246.94999999999987,216.59049999999976,223.84199999999976,189.35250000000025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1079,B,3,665.9404999999999,609.0195000000008,721.5074999999994,810.9275000000001,892.6555000000009,851.8299999999995,805.1099999999991,660.7905,543.0685000000014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1107,E,E,299.2474999999996,324.15949999999975,335.9224999999995,351.1430000000004,454.6904999999996,455.1544999999987,387.00899999999984,385.7549999999998,317.0584999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1119,E,E,608.6094999999995,510.8149999999999,659.7334999999991,658.2275000000004,724.8044999999998,647.8929999999989,491.3444999999993,470.02550000000036,406.85799999999887,,,,,,,,,,,,,,,,,,,
