ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
2009-01-01 00:00:00+00:00,2009-01-01,2009,1,1,0,0,GMT,1,1
2009-01-01 00:30:00+00:00,2009-01-01,2009,1,1,0,30,GMT,2,1
2009-01-01 01:00:00+00:00,2009-01-01,2009,1,1,1,0,GMT,3,1
2009-01-01 01:30:00+00:00,2009-01-01,2009,1,1,1,30,GMT,4,1
2009-01-01 02:00:00+00:00,2009-01-01,2009,1,1,2,0,GMT,5,1
2009-01-01 02:30:00+00:00,2009-01-01,2009,1,1,2,30,GMT,6,1
2009-01-01 03:00:00+00:00,2009-01-01,2009,1,1,3,0,GMT,7,1
2009-01-01 03:30:00+00:00,2009-01-01,2009,1,1,3,30,GMT,8,1
2009-01-01 04:00:00+00:00,2009-01-01,2009,1,1,4,0,GMT,9,1
2009-01-01 04:30:00+00:00,2009-01-01,2009,1,1,4,30,GMT,10,1
2009-01-01 05:00:00+00:00,2009-01-01,2009,1,1,5,0,GMT,11,1
2009-01-01 05:30:00+00:00,2009-01-01,2009,1,1,5,30,GMT,12,1
2009-01-01 06:00:00+00:00,2009-01-01,2009,1,1,6,0,GMT,13,1
2009-01-01 06:30:00+00:00,2009-01-01,2009,1,1,6,30,GMT,14,1
2009-01-01 07:00:00+00:00,2009-01-01,2009,1,1,7,0,GMT,15,1
2009-01-01 07:30:00+00:00,2009-01-01,2009,1,1,7,30,GMT,16,1
2009-01-01 08:00:00+00:00,2009-01-01,2009,1,1,8,0,GMT,17,1
2009-01-01 08:30:00+00:00,2009-01-01,2009,1,1,8,30,GMT,18,1
2009-01-01 09:00:00+00:00,2009-01-01,2009,1,1,9,0,GMT,19,1
2009-01-01 09:30:00+00:00,2009-01-01,2009,1,1,9,30,GMT,20,1
2009-01-01 10:00:00+00:00,2009-01-01,2009,1,1,10,0,GMT,21,1
2009-01-01 10:30:00+00:00,2009-01-01,2009,1,1,10,30,GMT,22,1
2009-01-01 11:00:00+00:00,2009-01-01,2009,1,1,11,0,GMT,23,1
2009-01-01 11:30:00+00:00,2009-01-01,2009,1,1,11,30,GMT,24,1
2009-01-01 12:00:00+00:00,2009-01-01,2009,1,1,12,0,GMT,25,1
2009-01-01 12:30:00+00:00,2009-01-01,2009,1,1,12,30,GMT,26,1
2009-01-01 13:00:00+00:00,2009-01-01,2009,1,1,13,0,GMT,27,1
2009-01-01 13:30:00+00:00,2009-01-01,2009,1,1,13,30,GMT,28,1
2009-01-01 14:00:00+00:00,2009-01-01,2009,1,1,14,0,GMT,29,1
2009-01-01 14:30:00+00:00,2009-01-01,2009,1,1,14,30,GMT,30,1
